Annee,country,Eight Regions,Four Regions,Geo,Members Oecd G77,Six Regions,UN member since,World bank income group 2017,World bank region,CO2 par habitant,Latitude,Longitude
2010,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.3,28.0,3.0
2011,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.29,28.0,3.0
2012,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.46,28.0,3.0
2013,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.51,28.0,3.0
2014,Algeria,africa_north,africa,dza,g77,middle_east_north_africa,08/10/1962,Upper middle income,Middle East & North Africa,3.72,28.0,3.0
1990,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,7.47,42.50779,1.52109
1991,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,7.18,42.50779,1.52109
1992,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,6.91,42.50779,1.52109
1993,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,6.74,42.50779,1.52109
1994,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,6.49,42.50779,1.52109
1995,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,6.66,42.50779,1.52109
1996,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,7.07,42.50779,1.52109
1997,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,7.24,42.50779,1.52109
1998,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,7.66,42.50779,1.52109
1999,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,7.98,42.50779,1.52109
2000,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,8.02,42.50779,1.52109
2001,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,7.79,42.50779,1.52109
2002,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,7.59,42.50779,1.52109
2003,Andorra,europe_west,europe,and,others,europe_central_asia,28/07/1993,High income,Europe & Central Asia,7.32,42.50779,1.52109
